PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Archetype_Name,Cluster,USG_PCT,AST_PCT,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_ROLL_MAN_FREQ,SPOT_UP_FREQ,POST_UP_FREQ,OFF_SCREEN_FREQ,CUT_FREQ,ISOLATION_FREQ,TRANSITION_FREQ
1626166,Cameron Payne,NYK,"Elite P&R Handler, High Playmaking, High Usage",3,0.2,0.251,0.384,0.0,0.263,0.0,0.025,0.0,0.042,0.18
1627747,Caris LeVert,ATL,"P&R Handler, Transition, Spot Up",5,0.191,0.178,0.217,0.0,0.264,0.0,0.065,0.049,0.073,0.24
1641717,Cason Wallace,OKC,"High Spot Up, Transition",1,0.124,0.117,0.148,0.027,0.317,0.0,0.023,0.077,0.048,0.247
1629646,Charles Bassey,SAS,"Elite Cutter, Elite Roll Man, Post Up",2,0.164,0.072,0.0,0.248,0.0,0.0,0.0,0.255,0.0,0.098
1631096,Chet Holmgren,OKC,"Elite Off-Screen, Spot Up, Transition",6,0.214,0.091,0.026,0.121,0.221,0.044,0.092,0.094,0.055,0.2
1628449,Chris Boucher,TOR,"High Spot Up, Transition",1,0.208,0.057,0.0,0.055,0.381,0.0,0.0,0.119,0.0,0.203
101108,Chris Paul,SAS,"Elite P&R Handler, High Playmaking, High Usage",3,0.137,0.342,0.389,0.0,0.195,0.0,0.0,0.0,0.125,0.137
1631128,Christian Braun,DEN,"High Spot Up, Transition",1,0.155,0.096,0.068,0.037,0.23,0.0,0.0,0.135,0.018,0.367
203991,Clint Capela,ATL,"Elite Cutter, Elite Roll Man, Post Up",2,0.16,0.073,0.0,0.243,0.0,0.046,0.0,0.261,0.0,0.12
1629632,Coby White,CHI,"P&R Handler, Transition, Spot Up",5,0.237,0.197,0.286,0.007,0.228,0.0,0.032,0.008,0.068,0.289
1628998,Cody Martin,PHX,"P&R Handler, Transition, Spot Up",5,0.142,0.128,0.165,0.039,0.285,0.0,0.036,0.051,0.06,0.246
1642262,Cody Williams,UTA,"Elite Off-Screen, Spot Up, Transition",6,0.122,0.078,0.091,0.0,0.418,0.0,0.069,0.035,0.038,0.211
1641732,Colby Jones,WAS,Balanced / Low Usage Role,7,0.138,0.123,0.156,0.0,0.394,0.0,0.0,0.0,0.0,0.0
1630175,Cole Anthony,MEM,"Elite P&R Handler, High Playmaking, High Usage",3,0.238,0.253,0.326,0.019,0.208,0.0,0.017,0.014,0.079,0.203
1631306,Cole Swider,IND,Balanced / Low Usage Role,7,0.155,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630658,Colin Castleton,TOR,Balanced / Low Usage Role,7,0.125,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631221,Collin Gillespie,PHX,"P&R Handler, Transition, Spot Up",5,0.17,0.235,0.222,0.0,0.373,0.0,0.0,0.0,0.07,0.135
1629012,Collin Sexton,UTA,"Elite P&R Handler, High Playmaking, High Usage",3,0.264,0.246,0.274,0.0,0.168,0.0,0.041,0.036,0.122,0.183
